table_name,field_name,language,translation,field_value
stops,stop_name,nl,Boileau,BOILEAU
stops,stop_name,fr,Bois des Îles,BOIS DES ILES
stops,stop_name,nl,Eilandenhout,BOIS DES ILES
stops,stop_name,fr,Boitsfort Gare,BOITSFORT GARE
stops,stop_name,nl,Bosvoorde Station,BOITSFORT GARE
stops,stop_name,fr,Bollinckx,BOLLINCKX
stops,stop_name,nl,Bollinckx,BOLLINCKX
stops,stop_name,fr,Bon Air,BON AIR
stops,stop_name,nl,Goede Lucht,BON AIR
stops,stop_name,fr,Bonaventure,BONAVENTURE
stops,stop_name,nl,Bonaventure,BONAVENTURE
stops,stop_name,fr,Boondael Gare,BOONDAEL GARE
stops,stop_name,nl,Boondaal Station,BOONDAEL GARE
stops,stop_name,fr,Bordet Station,BORDET STATION
stops,stop_name,nl,Bordet Station,BORDET STATION
stops,stop_name,fr,Borne,BORNE
stops,stop_name,nl,Paal,BORNE
stops,stop_name,fr,Bossaert-Basilique,BOSSAERT-BASILIQ.
stops,stop_name,nl,Bossaert-Basiliek,BOSSAERT-BASILIQ.
stops,stop_name,fr,Bossuet,BOSSUET
stops,stop_name,nl,Bossuet,BOSSUET
stops,stop_name,fr,Botanique,BOTANIQUE
stops,stop_name,nl,Kruidtuin,BOTANIQUE
stops,stop_name,fr,Boule et Bill,BOULE ET BILL
stops,stop_name,nl,Bollie en Billie,BOULE ET BILL
stops,stop_name,fr,Bouleaux,BOULEAUX
stops,stop_name,nl,Berken,BOULEAUX
stops,stop_name,fr,Bourdon,BOURDON
stops,stop_name,nl,Horzel,BOURDON
stops,stop_name,fr,Bourget,BOURGET
stops,stop_name,nl,Bourget,BOURGET
stops,stop_name,fr,Bourse,BOURSE
stops,stop_name,nl,Beurs,BOURSE
stops,stop_name,fr,Bozar,BOZAR
stops,stop_name,nl,Bozar,BOZAR
stops,stop_name,fr,Brabançonne,BRABANCONNE
stops,stop_name,nl,Brabançonne,BRABANCONNE
stops,stop_name,fr,Braemt,BRAEMT
stops,stop_name,nl,Braemt,BRAEMT
stops,stop_name,fr,Braves,BRAVES
stops,stop_name,nl,Dapperen,BRAVES
stops,stop_name,fr,Bremer,BREMER
stops,stop_name,nl,Bremer,BREMER
stops,stop_name,fr,Brésil,BRESIL
stops,stop_name,nl,Brazilië,BRESIL
stops,stop_name,fr,Breydel,BREYDEL
stops,stop_name,nl,Breydel,BREYDEL
stops,stop_name,fr,Brillant,BRILLANT
stops,stop_name,nl,Briljant,BRILLANT
stops,stop_name,fr,Broek,BROEK
stops,stop_name,nl,Broek,BROEK
stops,stop_name,fr,Broeren,BROEREN
stops,stop_name,nl,Broeren,BROEREN
stops,stop_name,fr,Broustin,BROUSTIN
stops,stop_name,nl,Broustin,BROUSTIN
stops,stop_name,fr,Brunard,BRUNARD
stops,stop_name,nl,Brunard,BRUNARD
stops,stop_name,fr,Brussels Airport,BRUSSELS AIRPORT
stops,stop_name,nl,Brussels Airport,BRUSSELS AIRPORT
stops,stop_name,fr,Brusselsesteenweg,BRUSSELSESTEENWEG
stops,stop_name,nl,Brusselsesteenweg,BRUSSELSESTEENWEG
stops,stop_name,fr,Bruxellois,BRUXELLOIS
stops,stop_name,nl,Brusselaars,BRUXELLOIS
stops,stop_name,fr,Buanderie,BUANDERIE
stops,stop_name,nl,Washuis,BUANDERIE
stops,stop_name,fr,Buda,BUDA
stops,stop_name,nl,Buda,BUDA
stops,stop_name,fr,Buedts,BUEDTS
stops,stop_name,nl,Buedts,BUEDTS
stops,stop_name,fr,Buissonnets,BUISSONNETS
stops,stop_name,nl,Braambosjes,BUISSONNETS
stops,stop_name,fr,Buyl,BUYL
stops,stop_name,nl,Buyl,BUYL
stops,stop_name,fr,Cabris,CABRIS
stops,stop_name,nl,Geitjes,CABRIS
