stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3261,,"DANSAERT",,50.851034,4.345094,,,0,
3263F,,"DUCHESSE BRABANT",,50.849449,4.329370,,,0,
3272,,"PADUWA",,50.859714,4.414957,,,0,
3273,,"ARTEMIS",,50.861570,4.415903,,,0,
3274,,"CIM. DE BRUXELLES",,50.864218,4.418716,,,0,
3276,,"JULES BORDET",,50.870754,4.418774,,,0,
3279,,"SABCA",,50.881753,4.416944,,,0,
3280,,"MIDDELWEG",,50.884148,4.421197,,,0,
3281,,"DUBOIS",,50.851356,4.311680,,,0,
3282,,"JOSEPH BAECK",,50.852036,4.316437,,,0,
3284,,"PEAGE",,50.862153,4.426100,,,0,
3285,,"DIABLOTINS",,50.865371,4.422078,,,0,
3286B,,"VILLON",,50.863401,4.424931,,,0,
3288,,"PEAGE",,50.862418,4.426164,,,0,
3293,,"PANNENHUIS",,50.872812,4.341965,,,0,
3298,,"PATRIE",,50.856815,4.390652,,,0,
3299,,"BIENFAITEURS",,50.858323,4.384610,,,0,
3304,,"MATISSE",,50.874490,4.408610,,,0,
3305,,"LEKAERTS",,50.871628,4.405932,,,0,
3306,,"HOEDEMAEKERS",,50.871958,4.403830,,,0,
3307,,"NOTRE-DAME",,50.871240,4.400462,,,0,
3308F,,"BIENFAITEURS",,50.858308,4.384134,,,0,
3312,,"PANNENHUIS",,50.872596,4.342231,,,0,
3313,,"QUETELET",,50.852798,4.368894,,,0,
3317,,"FUSEE",,50.877382,4.419548,,,0,
3320B,,"BOURSE",,50.849372,4.347381,,,0,
3321,,"FUSEE",,50.877435,4.421296,,,0,
3325,,"MERIDIEN",,50.856412,4.369051,,,0,
3332,,"MADOU",,50.849887,4.369025,,,0,
3337F,,"BOURGET",,50.878401,4.431144,,,0,
3338F,,"BOURGET",,50.878258,4.430263,,,0,
3354,,"PRESSE",,50.848691,4.367960,,,0,
3355,,"MADOU",,50.850084,4.369193,,,0,
3358,,"PRESSE",,50.847976,4.367781,,,0,
3360F,,"BIENFAITEURS",,50.857679,4.384461,,,0,
3361,,"HOEDEMAEKERS",,50.871770,4.403872,,,0,
3362,,"LEKAERTS",,50.872550,4.407565,,,0,
3366,,"PLASKY",,50.850546,4.397406,,,0,
3367,,"PLASKY",,50.850698,4.397163,,,0,
3368,,"SAINT-GUIDON",,50.834693,4.305881,,,0,
3369,,"SAINT-GUIDON",,50.834760,4.306103,,,0,
3370F,,"SAINT-GUIDON",,50.834684,4.305637,,,0,
3371F,,"SAINT-GUIDON",,50.834771,4.306349,,,0,
3372,,"FLAGEY",,50.827114,4.372103,,,0,
3376,,"RESISTANCE",,50.835636,4.311713,,,0,
3377,,"RESISTANCE",,50.835725,4.311911,,,0,
3378,,"DOUVRES",,50.836138,4.314480,,,0,
3379,,"DOUVRES",,50.836048,4.314279,,,0,
3380,,"ROBIANO",,50.860251,4.371221,,,0,
3381,,"PLASKY",,50.850952,4.397026,,,0,
3399,,"SCHUMAN",,50.842675,4.383504,,,0,
3401,,"CIM. DE BRUXELLES",,50.864254,4.418196,,,0,
3402,,"GUILLAUME",,50.861276,4.412642,,,0,
3403,,"DUNANT",,50.865035,4.408995,,,0,
3404,,"LOISIRS",,50.867930,4.406426,,,0,
3405,,"RODTS",,50.790023,4.318206,,,0,
3408,,"LATINIS",,50.867072,4.387035,,,0,
3409,,"LOUIS BERTRAND",,50.866159,4.386086,,,0,
3410,,"CROSSING",,50.865203,4.382190,,,0,
3411,,"KURTH",,50.868904,4.396128,,,0,
3412,,"CROSSING",,50.864559,4.381105,,,0,
3413,,"POUCHKINE",,50.871257,4.345120,,,0,
3414,,"AZALEES",,50.862497,4.380542,,,0,
3415,,"VAN HAELEN",,50.780327,4.325692,,,0,
3417,,"EVERE SHOPPING",,50.867166,4.405886,,,0,
3419,,"CONSCIENCE",,50.868643,4.399693,,,0,
3420,,"OUD-KAPELLEKE",,50.874341,4.403888,,,0,
3424,,"PERMEKE",,50.870897,4.407182,,,0,
3425,,"PERMEKE",,50.870600,4.406414,,,0,
3440,,"DAUTZENBERG",,50.827678,4.367171,,,0,
3444,,"PARC",,50.844610,4.361332,,,0,
3447,,"GINETTE JAVAUX",,50.818694,4.408515,,,0,
3448B,,"GARE D'EVERE",,50.867563,4.401340,,,0,
3449,,"KURTH",,50.868823,4.395744,,,0,
3450,,"EVERE SHOPPING",,50.866770,4.404753,,,0,
3451,,"AZALEES",,50.862596,4.380940,,,0,
3456,,"HENRIETTE LAUWERS",,50.850306,4.483009,,,0,
3457,,"HENRIETTE LAUWERS",,50.850009,4.483008,,,0,
3458,,"LOISIRS",,50.867930,4.406270,,,0,
3459,,"DUNANT",,50.863443,4.410272,,,0,
3460,,"GUILLAUME",,50.861101,4.412554,,,0,
3461,,"PADUWA",,50.859327,4.415634,,,0,
3462,,"CICERON",,50.860355,4.421579,,,0,
3463,,"GULLEDELLE",,50.855565,4.428540,,,0,
3465,,"DE BROUCKERE",,50.852420,4.351157,,,0,
3466,,"EVERE SHOPPING",,50.866394,4.403939,,,0,
3468,,"PAUL LEDUC",,50.860652,4.403700,,,0,
3469,,"DE BROUCKERE",,50.851799,4.350802,,,0,
3470,,"CONSCIENCE",,50.868086,4.398201,,,0,
3480,,"BUYL",,50.819024,4.380329,,,0,
3481,,"BUYL",,50.817420,4.378614,,,0,
3482,,"CIM. DE JETTE",,50.879772,4.334737,,,0,
3483,,"GUILL. DE GREEF",,50.882966,4.336167,,,0,
3484,,"CIM. DE JETTE",,50.879740,4.334586,,,0,
3486,,"BASTOGNE",,50.861416,4.314906,,,0,
3502,,"BOZAR",,50.844123,4.359055,,,0,
3503,,"ROYALE",,50.842487,4.358970,,,0,
3505,,"PORTE DE NAMUR",,50.838945,4.361604,,,0,
3506,,"QUART.ST-BONIFACE",,50.835086,4.363978,,,0,
3507F,,"FLAGEY",,50.826720,4.372343,,,0,
3510B,,"GEO BERNIER",,50.820259,4.377041,,,0,
3513,,"ULB",,50.813926,4.384942,,,0,
3514,,"CIM. D'IXELLES",,50.815966,4.390704,,,0,
3515,,"FRAITEUR",,50.817711,4.396025,,,0,
3517,,"ETANGS D'IXELLES",,50.824140,4.373435,,,0,
3518B,,"PORTE DE NAMUR",,50.837543,4.362009,,,0,
3519,,"FLAGEY",,50.828071,4.371200,,,0,
3520,,"DELTA",,50.816744,4.405058,,,0,
3521,,"BEAULIEU",,50.815977,4.407516,,,0,
